"MEDIA TREND REPORT","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Location :: All Locations","","","","","","(c)2010 comScore, Inc"
"","","","Time Period :: October 2008 - December 2009","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 1/22/2010","","","","","",""

"","","","Oct-2008","Nov-2008","Dec-2008","Jan-2009","Feb-2009","Mar-2009","Apr-2009","May-2009","Jun-2009","Jul-2009","Aug-2009","Sep-2009","Oct-2009","Nov-2009","Dec-2009",
"","","    Total Internet : Total Audience ","984395.826294133","996304.186347561","1007729.81860618","1020582.44278524","1078911.08635968","1092598.40882481","1108030.9458575","1122330.92527274","1135655.52350335","1151380.73736206","1165193.68774526","1179318.23663022","1190150.95988819","1206050.98497758","1222236.54778436",
"1","[P]","    Wikimedia Foundation Sites","277207.6531177","280969.054817848","272998.17604537","289810.731922668","300751.439527477","327147.670937931","320042.850437752","317254.958053379","302939.582719941","295484.361601212","307641.427749709","325998.219950234","344563.337769953","345805.151567511","347019.745760992",
"2","[C]","    Yahoo! Answers","153957.326254305","143924.968775084","144740.605675364","155701.600665651","163463.781268074","177858.923299656","178535.213223408","170319.479835632","165595.040619215","173001.931942399","178754.085869164","187717.901681405","201783.617039102","200545.740478351","183770.273979594",
"3","[C]","    Baidu Answers","74096.8411001352","68363.3130950151","71500.0616546653","64326.8192022997","71847.878543027","69060.2578087727","70579.5937883984","78629.8938364447","81645.9882749485","87325.9224937522","93623.9522037343","93423.7694997918","99691.1258236276","95874.393133604","89559.957874814",
"4","[P]","    Answers.com Sites","41814.0304665995","41544.9676738134","39696.276425611","44958.2529407353","45702.89910544","50175.9574503074","51780.064702013","52659.8064337434","48260.522201512","51578.5114684381","65929.9966174698","83059.3531598042","84120.1609421886","75959.034066501","67704.774489609",
"5","[C]","    Baidu Encyclopedia","34696.6117837892","33596.9378989386","38908.7283911548","35407.2892794759","42677.4137138667","42870.7389045016","41206.67559807","36967.4445949556","40775.2507595127","43666.2837496425","48364.9334187574","48965.8774776858","53582.0347647159","52284.387324905","48173.007853519",
"6","[M]","    DICTIONARY.COM","21376.6121166247","19899.3324142964","19724.3355706576","21782.9540643259","20438.5733437889","21605.7576638138","21024.0523351237","20617.8640773594","17784.0013828723","17370.9430508897","18171.560448178","37570.0819364923","32704.8215882679","33050.560149645","28966.962919101",
"7","[M]","    THEFREEDICTIONARY.COM","14755.5421253688","15677.6319740436","14768.4920059214","17368.0733203931","18656.4013891952","21479.7028355681","23172.392449516","22202.1375657998","20303.4411641243","20107.9421547589","19825.4609592645","21200.2801122474","23117.3256738351","24891.344188703","23203.881114161",
"8","[P]","    Wikia Sites","N/A","N/A","N/A","N/A","11981.037739999","12347.7406227875","14134.7380452458","14273.5515742179","14200.4786825061","16456.9731557606","16963.051902093","16438.1903829281","17902.2577826427","18311.772993761","20524.764216772",
"9","[P]","    Encyclopaedia Britannica","15037.9810959751","13467.7919037741","13170.1674155708","14749.9367714027","15004.5678322341","17056.3481043017","15949.5826497217","15459.6085189579","12371.360059283","12780.1883926322","13062.1395958137","21360.2434833786","24751.2383561815","22648.718731347","19998.014420276",
"10","[C]","    SINA iAsk","24318.0154733401","22249.5306479467","22628.0751526707","20109.7986448063","24585.5256794557","20548.9362617341","15034.6737747104","13144.3212541323","17548.9910533211","20290.4810148015","21700.3043094138","21319.7876927563","23851.0724240344","21572.284838653","19238.446022705",
"11","[P]","    ASSOCIATEDCONTENT.COM","10947.4422621081","9968.84176969679","10586.9749903656","11084.6235979655","10611.2108624665","11603.0185926893","11864.749806329","13164.1589285881","11605.5792323349","11889.4774097172","11992.9231446992","11788.4256568267","13534.4399182283","13876.002315446","17961.466783085",
"12","[C]","    Goo Teaching","9634.7047396923","9961.3914648025","10495.0682063934","12828.4199377667","11327.1578764527","13450.3825567584","13204.2265802331","14350.8574088732","13939.3801392842","15564.973514527","15922.4359807972","17017.2640170428","16762.9511222581","17008.145168713","16270.135903432",
"13","[M]","    ICIBA.COM","7085.4503381535","7571.1414929846","6888.7699784706","5214.1430391498","6521.27823419778","6930.36692279296","7708.28038207858","6562.76818861728","9414.1486048699","10879.8009284005","8111.4484434153","11779.0930165109","12418.6693803984","12676.785547035","15880.657632786",
"14","[C]","    Naver.com Knowledge IN","14785.3816080246","14268.8597998184","15293.973235913","14945.4842563991","16208.2944547886","16162.1133321906","16545.7175552121","14900.0785824393","14387.6727585636","14954.2453026613","15265.5735871036","15187.3097748924","15340.2791252714","16095.28601954","15140.073429669",
"15","[M]","    HOWSTUFFWORKS.COM*","8249.041273685","7298.8100945313","7971.8840607578","9182.0103661257","8702.76639044687","10149.371436732","9895.11628434777","9732.3926716833","7900.9431077639","8662.13864303316","8779.64725817528","10233.046497043","9862.78189415566","13878.692185165","13463.289690268",
"16","[P]","    WORDREFERENCE.COM","9152.4160023836","8716.0526822882","7912.2436485717","8588.4035041183","9805.49419528719","11147.683410168","10821.9773335149","11389.3358489931","10267.7468749312","9311.7944688916","9947.04741008283","12456.3237350953","13098.5290758521","12880.201326753","11309.254500343",
"17","[C]","    Yahoo! Dictionary","9677.8394534992","10350.7111080731","10036.5240839162","11054.524280789","10343.3123498623","10889.8232756548","11155.2137214334","11244.6040319738","10676.075657978","10749.5026271085","9562.80605282524","10610.2929308689","10935.4361644824","10787.655262326","10292.349845674",
"18","[P]","    URBANDICTIONARY.COM","5941.1827516819","5430.8802075649","6100.4398181529","6322.7686516827","6514.77762199109","7471.93304574436","7980.40404864756","7453.57879231342","7066.3269612954","8056.32501458304","8198.77957341835","7933.47208579908","8598.40986929761","8962.223853885","9421.157650873",
"19","[C]","    ANSWERBAG.COM*","N/A","6440.0718983589","5853.36744925","6909.8982639308","6336.97827260638","6883.61553245724","6570.00190615635","6853.65054294494","5659.7764440226","6208.94932974116","6074.59429660467","6187.77622593656","7998.60802844068","8034.176708008","8990.68778186",
"20","[M]","    Demand Media Network","26152.9092033062","5641.5920411347","5543.6137544841","6039.6713100045","5923.36567698839","6468.36177039244","6573.43393630598","6047.16410477974","5455.0741621141","5632.42786961836","5714.46537938231","6202.02631232618","9100.94912242772","8684.07774723","8762.361286975",
"21","[M]","    THESAURUS.COM","5415.6808080227","4589.1010778014","4416.1265062875","5133.9224726334","4813.36014753052","5349.6684391646","5004.13110615865","4497.83701794732","3915.3157446783","3669.57839948172","4206.96262009368","10237.0469407816","9547.75724342927","10299.235597288","8491.347889058",
"22","[P]","    ArticlesBase.com Sites","2493.2254025604","2606.2013410273","2874.0727272216","4434.2424954718","4506.02644658487","4970.4348269676","4790.25471344221","4222.88103266906","4738.91893261735","6311.13543645944","6441.13347579498","6893.32982470714","8221.86633242971","8446.657413983","8145.005330188",
"23","[P]","    SPRINGERLINK.COM","6329.5670783063","6139.657901877","5177.3944958693","5500.4535467731","5794.10449045796","7230.55763361428","6785.3513622307","6095.6496672575","4996.1146417259","4918.56486182196","5375.63950724067","6210.311848956","7515.63660810593","7959.470834285","7786.184083944",
"24","[M]","    REVERSO.NET*","8028.7244336149","7598.7414600948","6848.8164126703","7791.1575208048","8712.3880119217","10080.2750205835","9606.52956754272","11007.1119897895","10333.7047290361","9470.09707995616","9854.36052752301","12291.94571085","12047.9097375149","11166.951112838","7758.333256537",
"25","[C]","    Mail.Ru - Answers","3571.1709980862","3709.3611397307","4358.5958319546","4644.3325374489","3865.26464474337","4306.47297064668","4307.84388564972","3859.41986079066","3892.03758179605","4708.82958945436","5950.79547811143","5903.62601774846","6192.93883879669","6506.537257988","7043.53685509",
"26","[P]","    ARCHIVE.ORG","3896.6946026982","4010.8817193924","4158.1736535277","4597.1880338018","4757.42305151407","5753.03252362832","5680.96197641921","5358.5776306987","5385.97536690885","5742.62060099988","6038.50494631847","6395.80467607366","7322.32810326042","7047.995490899","6962.132955347",
"27","[C]","    Naver.com Dictionary","6287.4402361957","5683.514563651","6071.4783229134","5883.8989781793","6580.50802579493","6820.31672926","7029.95903050421","6168.00425589864","6412.60807719085","5570.02406916484","5796.90745977462","6378.12818170112","6615.56556606707","7192.137080346","6590.112066001",
"28","[P]","    WISEGEEK.COM","3339.8422094905","3141.1056026901","2950.5854525126","4031.7667842628","3995.23646099769","4298.32855464664","4024.96957394865","4279.96540805056","3737.7231887661","4171.62416390664","4541.09739202546","5331.20736704338","6168.77650268293","6099.311073163","5895.572068702",
"29","[M]","    WER-WEISS-WAS.DE","3778.6312503846","4440.4986332567","4298.5783793751","5120.1330677664","4729.20127524839","5407.66717209304","5002.10413169186","5287.24621907538","4579.5673990257","5058.01017191616","5243.91767965406","5872.3293972577","5910.29060408195","6300.639792042","5867.427940636",
"30","[P]","    THINKEXIST.COM","2982.6466261305","2914.1879035554","2958.0390187864","3043.9094257956","3742.58264833463","3814.6993159892","3958.86124031995","3936.28192479152","3862.64936254225","3894.81155358292","4598.83021182353","4514.37092861","5113.37696429976","4913.97420248","5725.203433693",
"31","[P]","    FUTURA-SCIENCES.COM","3192.0481096275","3073.1470371228","2628.7659993118","3594.953970581","3830.46571337824","4521.60576372324","4383.86873947972","4045.76015129704","3618.0479580034","3323.11785505316","3271.08221963243","4371.72890388108","4863.29012723547","5015.316846058","4530.45905214",
"32","[M]","    INSTRUCTABLES.COM","2500.7752823526","2390.8813257883","2497.9110480481","2655.4968904537","2817.10906626733","3126.74961850296","3249.80366341463","3270.44195470338","3101.9339258074","3117.38979437076","3123.16854292533","3224.17279074464","3942.66125658076","3940.870548052","4514.572217851",
"33","[P]","    WAPEDIA.MOBI","1100.8024127265","1487.5689388953","1500.1079542547","1665.5811491162","1695.55423558922","3444.38793776412","3656.38805817216","3752.3240398765","2902.38546972295","2304.26390512472","3242.65161248945","4741.72386889032","5463.00311065993","4833.217729229","4257.817009028",
"34","[P]","    SOURTIMES.ORG","2677.7778165657","2918.7016386106","2600.356357504","2700.8655877447","3594.57386895519","4261.87337802696","4015.79633903879","3821.1905841894","3533.36898721385","3582.9161205788","3791.22617430295","3641.79719469528","4093.34761638417","3712.876554794","4130.909926151",
"35","[P]","    BrainyMedia Sites","2304.8451310561","2138.996164912","2171.4594508406","2791.2279532049","2641.24840196156","2808.74829172896","2843.95860277758","2647.25037184874","2329.7318536776","2845.62633588384","2958.15503380364","3441.85298621858","3617.04244458468","3592.81794453","3878.136465125",
"36","[P]","    LEXILOGOS.COM","2882.1459849325","2593.6326586777","2574.4498841448","3137.1898628539","3458.25595454793","3749.87612234928","3716.49671881635","3333.54618810646","2763.4756743822","2815.09829142808","2929.62325953672","3520.88357965858","3830.70740322412","3539.303809779","3624.054061955",
"37","[P]","    BIBLEGATEWAY.COM","2973.5424364075","2914.1659176938","2692.4726476287","3199.1515412968","2951.96557346137","3562.22202575672","3562.10029334","3053.90119458566","2744.4677647189","2825.13163274912","2978.62547114082","3391.98749244852","3667.5880571178","3710.705468394","3563.277734073",
"38","[P]","    ANTOLOJI.COM","2729.7437000607","2817.7207067855","2152.3866207694","2218.7346924856","3015.46203014278","3370.69895264468","2852.64423416642","2413.09327091238","1905.00789556235","2014.28554294292","2179.88002773432","2305.2288228152","2986.55145139704","2977.18434263","3524.975838299",
"39","[P]","    WEBLIO.JP","1707.307127135","1675.9077600856","1295.3909933585","1883.3643893208","1984.38803691516","1964.52015022184","2440.90936346672","3299.55904499744","3721.78098551475","3740.21524938056","3551.29439270814","3026.29849188928","3265.47614981699","3330.207679854","3359.112140212",
"40","[C]","    Yandex Dictionary","1878.9169619679","1830.6605499095","2397.043214681","2430.3387488273","2057.51808450643","1993.7612519714","2092.02442616751","2041.36642269468","1793.29748847875","1496.83058995224","1801.54495429528","2540.76801352952","2815.50284764536","3200.288643433","3330.445671448",
"41","[C]","    SCIENCEDIRECT.COM","2368.2813533634","2707.0758287048","1861.0424677068","2092.5001551407","2323.79891082701","3044.72266410952","2609.25769794207","2251.97964751742","1880.1441109542","2224.6348705814","2031.48095581891","2430.25334977206","3095.59331934457","3541.467409119","3296.851396646",
"42","[P]","    ITUSOZLUK.COM","1958.291861517","1958.9314302703","1994.9866495596","2050.7068542874","2715.11805808002","2785.203386924","2652.02469206521","2453.8120421665","2237.0698990821","2643.7346598716","2526.54030662584","2376.25176726814","2075.00848770495","2346.451421061","3178.925442397",
"43","[C]","    INFOPLEASE.COM (w/ history)","3594.0339093531","3265.9308266623","2845.5207908809","4045.0901427142","3581.83719498896","3488.6368225152","3080.11106656605","3345.10671105024","1947.89715265365","1641.94165436464","1984.46430165401","2979.79642653458","2898.73574286319","2981.279068455","2948.925739224",
"44","[P]","    DICT.CC","2154.8402599803","2441.7336063441","2578.6440691174","2685.1160151663","2424.41850786589","2939.00576802132","2380.53771578993","2349.76821305958","2182.03623436265","2404.8368175716","2608.92131310689","2824.43298617018","2671.21529594324","2986.961103588","2938.371220096",
"45","[P]","    TRANSLATE.RU","1667.9507812261","1578.2846097363","1718.8245425608","2010.69479682","1981.235236961","2043.79933236716","2066.51130858272","2024.45748587508","2057.564478059","2051.45229733072","2390.38562997412","2828.55503748216","2862.28143788236","3049.515746797","2873.690000325",
"46","[P]","    TURKCEBILGI.COM","2070.9018274449","2052.4672656929","2030.1443208842","1907.2279381954","2704.94704135457","3012.93875892932","2795.60339613193","2315.51704938054","1856.12489736545","1633.19298631756","1670.77025913904","1773.18736712598","2522.19167490318","2226.959273085","2839.931097522",
"47","[P]","    NORTHPOLE.COM","3612.656453504","4128.4725398284","4595.8527757102","568.7041747495","343.69777965665","276.13925463888","254.36449229421","231.97642718372","143.6850088711","235.77736219796","188.33754916789","248.77455478564","493.71114700162","1838.586141012","2800.190045272",
"48","[P]","    17U.COM","2312.712044079","2464.6829011405","2178.8287838284","2826.1827401641","2944.29366126775","3282.80173585576","1884.402910804","2199.8890589036","2247.69803344995","3439.19708825712","3758.47488243779","5027.34496802364","4492.40601354362","3134.937371939","2792.521083322",
"49","[C]","    Livedoor - Wiki","1714.6975782035","1591.9677103432","1413.1148777692","1526.8836802619","1365.71196244631","1553.54220818556","1353.72325225823","1644.32779507866","1691.1718867848","2372.22890198832","2467.92664125432","2652.66910417764","2374.18303847284","2894.723177983","2580.213981971",
"50","[M]","    ENOTES.COM","1770.6535011056","1934.657108537","1509.4600332028","1816.5820717132","1783.73572238256","2243.98611801016","1946.29488495993","2156.0493247028","1305.1922345967","914.9628071192","1302.09230914169","2001.69828516948","2549.93306939934","2654.865659773","2397.283061565",
"51","[P]","    TRADUCEGRATIS.COM","1528.1131420365","1712.1433091235","2034.3635321509","1884.93683776","1818.64857987539","2178.5670915042","2650.206138045","2414.4632999183","2053.93788873835","2342.70640496776","2544.3179208101","2601.4570081512","2724.25841189613","2554.864529107","2354.791981994",
"52","[P]","    CONSUMERREPORTS.ORG","2070.8630145143","2585.7633358589","2808.0516729294","2448.9989992949","2168.43338482126","2049.98507046996","2206.40419897658","1984.25000728746","1741.36054796635","1792.05664882492","2106.67280793711","1760.0585736582","1973.60530967469","2525.106473014","2328.059114868",
"53","[M]","    REFERENCE.COM","3944.3198038486","3417.5771984112","2839.0152883134","3450.8030474473","3345.88412461867","3085.92891017492","2984.6029637023","2577.62344222066","2531.3591872185","2257.1833237186","2568.30752240705","4323.08115170364","3099.6631178943","3996.253548344","2243.669446168",
"54","[P]","    VDICT.COM","1228.954621434","1467.5239744962","1804.5638271836","1785.893319472","2246.19397219695","2195.05430100704","2475.48558797386","2243.06281230318","1986.9247931742","1883.93612824988","2115.28475259205","2082.91804091098","2316.48993998004","2267.951080195","2130.316487014",
"55","[M]","    SPANISHDICT.COM (w/ history)","1430.3338376671","1348.4814338114","1241.7772442708","1464.0851826797","1435.73115161885","1660.72733939096","1635.66665567986","1574.73737160744","1290.90169228025","1144.36597755588","1331.56672576049","2186.16421456822","2040.09699070124","2014.208791549","2101.314162744",
"56","[P]","    QUESTIA.COM","2217.0208513287","2296.0765543247","1359.8782998955","1640.2001533667","1939.13717346925","2178.2810953796","1982.86336004365","2050.98098842864","1591.34445251355","1516.8436866052","1507.66381942912","2055.12334290118","2415.5601135925","2547.092181922","2069.279836687",
"57","[C]","    ALLEXPERTS.COM","1917.4162813824","1635.7975224068","1952.1902852031","2087.1320132587","1782.47490157206","2054.19746780376","1880.04556657549","2149.40473637264","1882.32011723","2171.532919091","2312.20544691484","2116.24905425168","2085.77288564882","2052.474749727","2026.218018028",
"58","[P]","    POEMHUNTER.COM","1697.743844689","1682.1316521657","1987.9740011708","1848.827149052","2214.98441574961","1983.70039733612","2226.00705689016","2176.4135329984","1796.16358325805","1622.46681072336","1541.06568269022","1752.57924371092","1945.78991685599","2154.124256697","2017.812004315",
"59","[P]","    ASKMEHELPDESK.COM","1578.383161102","1414.9817094504","1506.9391604356","1703.122317158","1663.95729682055","1717.4685958244","1872.32022455449","1939.88819536228","1779.56926904705","1803.60393373996","1794.86437921852","1731.4062667226","2060.62028381983","2088.223655353","1944.13419989",
"60","[P]","    HOWTODOTHINGS.COM","876.2466998142","904.1351201386","891.3416975676","1166.4288253033","1146.72044420824","1343.11157508492","1514.45687871335","1855.19514817002","1839.54125943755","2001.27796479744","2133.60485229146","1635.66114544134","1590.30240284857","1728.476103869","1819.043299345",
"61","[P]","    INFORMAWORLD.COM","1335.5866026386","1619.3481280396","1204.9626451892","1051.3857367614","1174.64409228182","1088.47519507368","1014.53532802742","1301.85258088948","1203.7286717319","1382.34482912544","1309.55755447335","1238.8704150526","1152.98362563982","1164.461979382","1687.881212283",
"62","[P]","    WOXIKON.DE","1263.1980587248","1250.9579708084","1220.9820117733","1331.22359057","1281.25140891102","1412.37906768616","1138.80487000863","1075.73050120464","1082.40814288565","1182.53792028904","1163.79988904209","1278.27490251682","1399.23870538939","1708.514006586","1655.901600758",
"63","[P]","    ONLINECONVERSION.COM","1222.1494440067","1020.5290833984","1239.8992594853","1376.5895648081","1300.43504147991","1410.67438167188","1376.84252685786","1385.43574736582","1225.9108070863","1376.50911003448","1328.03409247583","1737.42736993196","1516.4261526619","1659.258579356","1652.510248209",
"64","[P]","    5156EDU.COM","N/A","1680.3770285163","1253.4471674727","794.8253459294","1203.60050853343","1577.193689243","1293.76198162893","894.88655229092","1270.04344423255","1348.21576789744","1011.2829472175","1665.66627901576","1674.04304438671","1685.560135077","1650.636283611",
"65","[C]","    Voila.fr Translation","1904.1603966883","2025.842480885","1634.2583139496","1810.0823931518","1791.5295810842","2156.69529429256","2184.57218790549","2353.57171131522","1990.0957215905","1877.16979953236","1740.64593613076","2362.60702211246","2070.56154266399","2055.88907621","1628.521501455",
"66","[P]","    LOTSOFESSAYS.COM","637.2670997123","655.7042644938","650.4472937751","498.4205182285","635.52455830751","1602.6814392132","1435.38735131809","1507.0532058689","1096.19581516165","815.56406441104","864.97805104588","1462.00916154216","1963.77872273086","2110.856464755","1607.714772615",
"67","[P]","    COINMILL.COM","619.187630654","854.7377591826","886.7199429962","934.2750907663","1041.35463502024","1362.18537344228","1080.7814035723","1124.04479966838","1196.54568653855","1375.12355168116","1416.15542141013","1283.58045564906","1369.77345567451","1268.075626483","1546.593804618",
"68","[P]","    UN.ORG","1632.0732742846","1423.2290421903","1336.9581340265","1384.3415507142","1592.47116875603","2036.78974908092","2174.656800084","1629.98874228876","1476.3360378324","1177.7771102922","1234.69674035503","1836.30134093894","2081.74642383314","1981.007862198","1541.749585851",
"69","[M]","    YEDDA.COM*","1499.9494864026","1628.308112433","1931.9674324093","2207.4910167684","1629.64698399299","1806.63712149244","1786.36981434179","1558.1702420762","1682.1215996172","1695.95036987684","1539.85936569149","1549.41084404696","1604.22975736802","1423.349055536","1530.030724327",
"70","[P]","    123HELPME.COM","1065.3401678351","1116.3852316157","950.9195010449","852.8224657133","1101.66400403061","1288.5721240822","1117.11713720086","1225.21208742784","785.6614569399","551.74846758616","550.99331294997","1018.05876044418","1441.08048921562","1574.829484394","1519.244503853",
"71","[P]","    ALC.CO.JP","1260.9976801888","2185.4808453992","2809.8225202728","1220.5066634702","1098.86871009722","1057.68477686784","1102.30211801093","1264.8039394255","1219.74379322775","1029.60751184984","1081.13988796293","1344.3510149952","1624.94047321497","1477.084713459","1484.836773146",
"72","[M]","    5BALLOV.RU","876.328417411","1024.0153976913","1539.2037181035","997.6370987927","938.72891540758","1199.01774631164","1226.36111066893","1128.68533614406","841.92410463735","222.44332490864","240.93753674918","890.46891481874","881.18856895089","1039.747283215","1483.146293452",
"73","[P]","    LAWTIME.CN","N/A","1004.0145421218","806.0142303225","689.9178961569","747.44150304975","717.15923891964","725.95862","811.51526533576","837.43332035895","907.83975050392","1074.39222430932","1193.2862970963","1136.09449953727","1307.141918902","1463.936027427",
"74","[P]","    PEOPLES.RU","835.3614053485","735.911052599","873.6548724408","1050.8240516111","832.71898564025","1274.12104204332","948.89629207607","1032.40444649076","725.29263653125","926.87799199108","848.86980268111","1101.57975222722","1310.3842691036","1410.84302773","1439.011485469",
"75","[P]","    WISDOMQUOTES.COM","867.7301790055","724.7387479777","747.0950161618","811.5445824917","821.84195452714","955.86241042684","966.72352442107","1073.01733146132","1065.31435508145","1138.93091004916","1104.87210834097","1057.33929536378","1353.40374511914","1183.015993449","1414.849548005",
"76","[C]","    LIBRARYTHING.COM (w/ history)","513.8261373461","623.9715902459","754.9661598787","754.8779396094","632.95857114632","807.23451994732","906.98034841607","968.70246739752","777.6162059954","971.98841025344","1324.72896297969","1473.75917837096","1784.31557113064","1639.445654943","1410.08331025",
"77","[P]","    TRANSLATE.PL","1860.0104693049","1745.3251959504","1435.4940348111","1485.3494822531","1231.3443647547","1360.4451112458","1160.04959392","1125.8639502553","998.3281893437","1002.30627753512","895.89743414047","1215.12609976096","1399.99228758101","1301.408766987","1362.980161818",
"78","[P]","    SOCIETE.COM","1545.3656160752","1249.6991587525","1162.7079451229","1373.724400193","1427.19370390642","1441.049839852","1409.79698871114","1213.7605043525","2431.7926355916","781.32441771888","656.84210331723","1353.94484826494","1518.84231408382","1440.89409128","1352.828946335",
"79","[P]","    TURNITIN.COM","921.1980827065","904.3913118891","934.7549638202","831.9243935591","1021.86736961267","1232.70331877768","1097.65514241193","1071.59923972926","611.00152815635","360.9629781412","567.33840446745","1144.38912719192","1373.95678153994","1481.459285436","1239.562136297",
"80","[P]","    ZARGAN.COM","662.4364152746","659.1940565076","608.8149680702","560.2512227976","608.78223146752","821.12661181564","767.88811000621","742.21381985466","724.375817942","735.73794637136","837.16255471837","900.03175153116","1164.78668721051","1176.226598924","1236.921643516",
"81","[P]","    SMARTDRAW.COM","1541.0718897856","1178.2678814894","989.1811706597","1317.104285182","1319.8161426913","1425.51934678752","1211.03400578807","1259.5348786948","1013.2785520181","1122.21250095616","1200.20938810902","1281.81086293236","1366.67127064453","1307.024546054","1223.854658212",
"82","[P]","    MIJNWOORDENBOEK.NL","810.6260592503","838.8991616935","898.9475902498","1019.2557154526","1060.61464634939","1176.8449834626","943.50327319921","1082.24800313772","1000.16163047835","953.032171361","902.40877315599","1224.6583870271","1144.2864142111","1293.472799037","1222.424316366",
"83","[P]","    OPPAPERS.COM","1188.5308537548","1367.0200060574","710.386404569","442.8657320102","614.8500246462","638.25640205552","689.93871471414","617.36781904206","520.9672892639","449.34943900104","784.41819946314","968.17339756388","1607.12145770267","1588.243669886","1213.28144649",
"84","[P]","    SCIELO.BR","1684.7376774935","1743.1269685078","889.6131582474","800.9310829729","1270.01706722453","2012.80686014924","1584.19768213077","1554.17913281646","1596.9895577987","1141.48651012392","1276.64474123777","1724.84429391134","1775.15164410628","1869.330477809","1123.394045727",
"85","[M]","    KALIPEDIA.COM","1350.0287695864","1531.7402240699","868.3368119146","767.8212900866","1752.64944544874","2296.68901955312","1945.65624100428","2357.56631067192","1957.8255592183","1287.39256884392","1733.65411475961","2180.68693058478","2290.53851273633","2234.249786481","1100.121506904",
"86","[P]","    ANGLAISFACILE.COM","713.2831680095","677.8880296056","533.2139675643","666.4169951463","783.11641604148","922.33195196252","857.717347508","926.63377333528","874.5562263295","664.79711158232","658.6227781836","1169.5929488561","1202.76935008962","1246.87357128","1089.147354083",
"87","[P]","    EMERALDINSIGHT.COM","901.3389967797","983.4873779785","780.7957194485","832.5580085337","929.84785754536","1015.30558970504","1185.88003350279","1238.70688550302","849.61362882105","728.68443572144","746.4989122869","965.11412509104","1283.88283901378","1352.480947147","1087.868102864",
"88","[P]","    THAIGOODVIEW.COM","438.696797991","916.679322704","844.2994408915","1056.0775713929","1017.74992479515","812.62287132772","541.408408548","951.46734812396","1153.22864830215","1038.634314162","1364.57371406787","1431.9742570529","740.66232306352","1056.373887351","1086.317928967",
"89","[P]","    GUNS.RU","954.3763242034","714.118651203","1157.26555331","905.8277999728","972.86126918212","1078.01492720948","910.28581955165","994.13070475864","997.17715906875","1294.58075078668","1146.40557529751","1162.80757360184","988.56437331849","1056.016392499","1073.830614555",
"90","[P]","    POEMSOURCE.COM","397.5689155657","464.1387156925","640.6061645656","489.8319965734","1062.61411846551","493.63624248768","587.55985149186","897.6038342563","595.37281215315","394.40445065124","387.20845887071","396.95448258064","488.71078767793","551.622841215","1046.069732863",
"91","[M]","    LAROUSSE.FR","534.4826194842","526.5030989182","389.379716341","538.8265072084","683.44522333552","733.01791391904","705.67690913579","846.30352536476","691.28628151415","727.71846180292","747.01934436654","1221.93392777494","1301.46577246663","1225.792401418","1024.52729257",
